CCAA;exp_ibertasa;title;Full_Address;City;latitude;longitude;Anno;Value;Total_Rooms;Individual_Rooms;Double_Rooms;DayCenter_Rooms;Validos;Assisted_1;Assisted_2;Ind_valid_price;Ind_assist1_price;double_valid_price;double_assist1_price;day_valid_price;day_assist1_price;ebitda;revenue1;revenue5;cost;Personnel;Amortization;Other_costs;Working_Capital;CAPEX;Ground_Area;Built_Area;Construction_Costs;Old;Ground_Value;VRB;VRN;sectorial_ratio;Rent_Optima;Fast_Sale
Andalucía;391855;Residencia Churriana GRANADA;Calle Sta. Bárbara, 34, 18194 Churriana de la Vega, Granada, ;Granada;371.430.215;-36.488.155;2016;1.247.662.525;31;2;9;20;32;8;0;1584;1760;1440;1600;500;500;0.219017879;438.778.368;5.294.573.223;0.176;0.364648788;0.088761503;0.240333333;0.014116258;0.0443;2163;2497;988085.56;3;76817.84;1.262.520.512;1.160.550.082;4.024.717.824;8.234.284.346;1.000.760.762
Andalucía;396425;Residencia geriatrica Cantillana_SEVILLA;Seville, ;Seville;373.890.924;-59.844.589;2016;1.913.246.077;42;2;40;0;5;16;0;1200;1200;1200;1200;;;0.21;1.320.501.334;1.328.402.604;0;0.65;0.072274447;0.14;0.014116258;0.0443;831;3350.86;2.755.337.319;16;2.039.772.628;3.510.382.045;1999355.06;4.555.347.803;1.565.179.876;1.646.783.871
Andalucía;424415;Residencia Ballesol_SEVILLA;C/ Alas, s/n. Esq, Calle Flor de Azalea, 41020 Sevilla, ;Sevilla;37.391.905;-59.186.538;2016;4.317.139.038;61;19;42;;52;26;26;1949;2241.35;1559.2;1793.08;;;0.203785432;2.071.071.202;2.257.361.912;0.126;0.444214568;0.093769365;0.226;0.014116258;0.0443;2226.7;4399.17;4.928.177.072;8;4.829.252.908;6.396.737.777;5.042.474.718;7.077.277.111;3.030.466.046;3.555.903.548
Andalucía;450155;residencia ancianos san rafael ALMERIA;Urbanización, Calle Torre del Campo, s/n, 04100, Almería, ;Almería;369.495.391;-21.718.409;2016;4.776.961.285;75;59;6;10;10;0;37;;;;;;;0.271306191;2.209.604.186;2.276.613.753;0.092839759;0.48;0.073088299;0.15585405;0.014116258;0.0443;43931;18501.24;4.652.762.143;11;298730.08;5.889.424.572;4.136.263.796;6.369.281.713;3.536.342.176;4.023.053.332
Andalucía;460855;Residencia Facinas JEREZ;11391 Facinas, Cádiz, ;sCádiz;361.445.803;-57.016.872;2017;5.435.466.119;73;31;42;;3;22;5;1.727.272.727;1.363.636.364;1.363.636.364;1.363.636.364;;;0.272137328;1.893.102.647;2.072.584.996;0.060313425;0.583169646;0.127134785;0.084379602;0.014116258;0.0443;79617;24761.86;6.104.182.565;7;218959.12;7.543.978.198;6.078.974.383;7.445.843.999;3.769.153.374;4460170.74
Andalucía;526934;Gades II_Cadiz;Cádiz, ;Cádiz;365.270.612;-62.885.962;2017;1.519.774.784;32;7;25;;57;0;0;1800;;1500;;;;0.183617477;696945.6;769.494.991;0.053673128;0.483179749;0.084479782;0.279529646;0.014116258;0.0443;321;1370;1493875.4;10;942466.38;2735116.86;2.222.418.823;4.749.296.201;1.045.533.943;1.222.461.975
Andalucía;526935;Gades I_Cadiz;Cádiz, ;Cádiz;365.270.612;-62.885.962;2017;9.586.296.908;27;12;15;0;0;42;0;;1400;;1300;;;0.141677595;546393.6;6.021.938.295;0.176;0.441989072;0.077449844;0.240333333;0.014116258;0.0443;0;1520;1073518.49;12;8.234.192.538;2.111.641.442;1.669.781.231;3.550.480.336;6.719.370.538;766.534.713
Andalucía;527130;Residencial Ancianos Nta. Se?ora Amparo HUELVA;Huelva, ;Huelva;37.261.421;-69.447.224;2017;7.073.873.229;22;22;;;2;0;0;1.181.818.182;;;;;;0.239060513;3.333.918.103;3.644.042.278;0.176;0.344939487;0.090216919;0.24;0.014116258;0.0443;1720;984.58;7.634.097.775;15;7.822.398.545;9.943.157.185;601.312.365;3.215.396.922;5.525.283.988;6.009.651.593
Andalucía;544232;Residencia Fundomar Bermajales_Sevilla;G, Av. de Italia, 9, 41012 Sevilla, ;Sevilla;373.508.491;-59.807.505;2017;11018382.78;168;85;33;30;10;0;111;;;;;967.5;;0.269871946;3.743.257.095;4.068.894.874;0.142;0.516128054;0.107241291;0.072;0.014116258;0.0443;4950;12171.27;10175975.91;6;1.844.714.611;14055885.7;11967775.45;6.558.561.178;7.385.681.712;8.960.225.571
Andalucía;544242;Residencia Bormujos SEVILLA;Carretera Castilleja - Bormujos, Km, 1, 41930 Bormujos, Sevilla, ;Sevilla;37.380.035;-6.065.347;2017;3.502.803.037;108;8;34;64;133;0;0;2100;;1890;;550;;0.220607165;1.898.771.616;2.061.192.473;0.176;0.363392835;0.061521794;0.24;0.014116258;0.0443;3494;3093;2964367.35;17;7.878.647.067;4.345.105.527;2.616.286.488;3.243.336.145;2.864.246.941;2.989.430.577
Andalucía;585460;Residencia geriatrica Cantillana_SEVILLA;Seville, ;Seville;373.890.924;-59.844.589;2018;1.490.865.558;42;2;40;;2;0;17;1140;;1200;;;;0.140956242;1.280.506.717;1359822.83;0.082274886;0.646983721;0.082495742;0.129785151;0.014116258;0.0443;831;3350.86;2.802.520.825;17;208.687.048;3.571.712.038;1.937.281.893;35.496.799;12.237.104;1.277.193.399
Andalucía;606626;Residencia Dos Hermanas SEVILLA;Calle Juan de Mena, 2, 41701 Dos Hermanas, Sevilla, ;Sevilla;372.818.398;-59.345.913;2018;1.225.588.804;20;9;11;;7;14;0;1250;1350;1400;1458;;;0.229803511;5.520.829.631;5.903.014.063;0.113413795;0.481811644;0.062890642;0.17497105;0.014116258;0.0443;811;1059.5;8.810.908.155;8;155687.47;1.212.996.449;9.708.726.925;612.794.402;8.438.260.239;1.006.781.871
Andalucía;613314;Residencia Los Higuerones_JAEN;Jaén, ;Jaén;377.795.941;-37.849.057;2018;9.423.726.976;22;1;21;;28;0;0;1416;;1180;;;;0.24;512946;5.569.800.997;0.135;0.45;0.10677396;0.175;0.014116258;0.0443;10050;1567.87;1.388.129.383;16;28642.5;1694397.76;1.076.402.558;4.283.512.262;6.964.676.516;7.832.439.085
Andalucía;623299;Residencia Benasol Benalmadena MALAGA;Calle Cantueso, 2, 29631 Benalmádena, Málaga, ;Málaga;366.001.348;-45.524.022;2016;8.940.475.679;10;0;10;;20;0;0;1790;1900;1490;1600;750;;0.245674616;346514.4;3.665.504.547;0.15;0.434325384;0.085131809;0.17;0.014116258;0.0443;0;703.38;7.482.978.468;5;3.005.948.463;1.198.552.263;1.070.144.352;8.940.475.679;5.888.018.924;7.195.087.329
Andalucía;626220;Resd El Carmen Ubeda Jaén V01;23400 Úbeda, Jaén, ;Jaén;380.114.236;-33.712.457;2018;8.251.155.038;36;6;10;20;32;14;0;1.390.909.091;1.390.909.091;2.436.363.636;2.436.363.636;4.958.677.686;4.958.677.686;0.141468015;4.943.868.099;5.436.631.132;0.077104441;0.606812306;0.055171255;0.174615239;0.014116258;0.0443;5241.81;829.49;6.918.964.164;5;2.108.825.535;1.041.158.253;9.224.288.281;2.291.987.511;5.448.668.148;6.628.975.486
Aragón;322894;Residencial Las Adelfas de Ebro ZARAGOZA;km 352,7, Ctra. Barcelona, 50175 Osera de Ebro, Zaragoza, ;Zaragoza;41.540.039;-0.5839489;2015;1.347.010.494;41;20;21;0;25;37;0;995;1243.75;895.5;1.119.375;;;0.23;6.250.007.925;7.318.889.908;0.1;0.45;0.096856226;0.22;0.014116258;0.0443;;11492.4;1748828.76;10;227.751.552;2.326.346.064;1.726.148.034;3.285.391.449;9.880.718.927;1.119.884.381
Aragón;340250;Residencia Fundacion Hospital de Jesus ATECA_;Av. 20 de Noviembre 82, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico;MXMexico;194.287.427;-991.335.583;2015;5.082.511.266;22;5;17;0;6;10;23;866;803;699;642.4;;;0.2;340.121.628;4.101.990.669;0.15;0.45;0.083676896;0.2;0.014116258;0.0443;;1076.9;8.130.033.935;20;62.858.653;1.038.462.725;481392.8;2.310.232.393;4.673.641.545;4.441.770.932
